ds,yhat,yhat_lower,yhat_upper
2025-11-01,2619.938906124824,2259.3753706857983,3021.177652829967
2025-12-01,2625.2804948305497,2262.1696281823965,3001.601832713552
2026-01-01,2738.059213813754,2361.0305866748154,3128.356138306041
2026-02-01,2644.3128096123496,2261.9865533210746,3066.2198958457057
2026-03-01,2726.968668659146,2368.3115936350196,3113.800719083935
2026-04-01,2565.600747344289,2206.338164820969,2935.1590365682255
2026-05-01,2702.58687012435,2294.5625467140203,3066.4013203321047
2026-06-01,2582.82154837427,2207.0427727581136,2960.125185156381
2026-07-01,2707.2580100464806,2326.5228052646075,3103.155922462416
2026-08-01,2713.356231033126,2353.9654589611705,3096.3822538557106
2026-09-01,2735.85222674573,2356.1538080410646,3112.069155372895
2026-10-01,2659.1507597693117,2277.9031319769974,3005.167738098288
